customer_id,age,income,debt_ratio,credit_score,employment_years,loan_amount,previous_defaults,risk_label
FB001,35,75000,0.25,720,8,25000,0,0
FB002,28,45000,0.42,650,3,15000,1,1
FB003,45,120000,0.18,780,15,50000,0,0
FB004,52,95000,0.31,710,20,35000,0,0
FB005,23,32000,0.55,580,1,10000,2,1
FB006,41,88000,0.22,745,12,40000,0,0
FB007,33,62000,0.38,670,5,20000,1,1
FB008,29,48000,0.29,695,4,18000,0,0
FB009,56,150000,0.15,800,25,75000,0,0
FB010,38,72000,0.44,640,7,28000,1,1
FB011,47,105000,0.20,760,18,45000,0,0
FB012,31,55000,0.35,680,6,22000,0,0
FB013,26,38000,0.48,620,2,12000,1,1
FB014,44,92000,0.24,730,14,38000,0,0
FB015,36,68000,0.33,700,9,25000,0,0
FB016,50,115000,0.19,770,22,55000,0,0
FB017,24,35000,0.52,600,1,8000,2,1
FB018,39,78000,0.27,715,10,30000,0,0
FB019,42,85000,0.30,705,11,32000,0,0
FB020,27,42000,0.46,635,3,14000,1,1
FB021,55,130000,0.16,790,24,60000,0,0
FB022,32,58000,0.36,675,5,20000,0,0
FB023,48,100000,0.21,755,17,42000,0,0
FB024,30,52000,0.40,660,4,17000,1,1
FB025,37,70000,0.28,710,8,26000,0,0
