customer_id,age,income,debt_ratio,credit_score,employment_years,loan_amount,previous_defaults,risk_label
RC001,34,71000,0.26,715,7,24000,0,0
RC002,29,47000,0.43,645,3,16000,1,1
RC003,43,115000,0.17,775,14,48000,0,0
RC004,51,92000,0.32,705,19,34000,0,0
RC005,25,34000,0.54,585,2,11000,2,1
RC006,40,86000,0.23,740,11,38000,0,0
RC007,32,60000,0.39,665,5,19000,1,1
RC008,30,50000,0.28,690,4,17000,0,0
RC009,54,145000,0.14,795,24,72000,0,0
RC010,37,70000,0.45,638,6,27000,1,1
RC011,46,102000,0.21,758,17,44000,0,0
RC012,33,57000,0.34,682,6,21000,0,0
RC013,27,40000,0.47,625,2,13000,1,1
RC014,45,94000,0.25,728,13,37000,0,0
RC015,35,66000,0.32,698,8,24000,0,0
RC016,49,112000,0.18,768,21,53000,0,0
RC017,22,33000,0.51,605,1,9000,2,1
RC018,38,76000,0.26,712,9,29000,0,0
RC019,41,83000,0.31,702,10,31000,0,0
RC020,28,44000,0.47,632,3,15000,1,1
RC021,53,128000,0.15,788,23,58000,0,0
RC022,31,56000,0.37,672,5,19000,0,0
RC023,47,98000,0.22,752,16,41000,0,0
RC024,29,51000,0.41,658,4,16000,1,1
RC025,36,69000,0.29,708,7,25000,0,0
RC026,58,160000,0.12,810,28,80000,0,0
RC027,26,39000,0.49,618,2,12000,1,1
RC028,44,90000,0.24,725,12,36000,0,0
RC029,39,80000,0.30,700,9,28000,0,0
RC030,24,36000,0.53,595,1,10000,2,1
